,First_pokemon,Second_pokemon,Winner
2455,Luvdisc,Heatran,Luvdisc
2456,Mudkip,Pidgey,Pidgey
2457,Dedenne,Tentacool,Dedenne
2458,Ralts,Tauros,Tauros
2459,Joltik,Zubat,Joltik
2460,Karrablast,Chinchou,Chinchou
2461,Pancham,Mawile,Mawile
2462,Yveltal,Woobat,Yveltal
2463,Tyrunt,Zangoose,Zangoose
2464,Carbink,Meditite,Meditite
2465,Espurr,Treecko,Treecko
2466,Chatot,Sawk,Chatot
2467,Blitzle,Roggenrola,Blitzle
2468,Panpour,Magikarp,Magikarp
2469,Natu,Spoink,Natu
2470,Growlithe,Helioptile,Helioptile
2471,Carnivine,Qwilfish,Qwilfish
2472,Pansear,Ponyta,Ponyta
2473,Venonat,Swablu,Swablu
2474,Zorua,Munna,Zorua
2475,Carbink,Mesprit,Mesprit
2476,Reshiram,Dedenne,Dedenne
2477,Drilbur,Diancie,Drilbur
2478,Smeargle,Seviper,Smeargle
2479,Plusle,Poochyena,Plusle
2480,Magby,Minccino,Magby
2481,Azurill,Buneary,Buneary
2482,Manaphy,Foongus,Manaphy
2483,Spoink,Torchic,Spoink
2484,Entei,Minun,Entei
2485,Sneasel,Bronzor,Sneasel
2486,Tropius,Luvdisc,Tropius
2487,Natu,Koffing,Natu
2488,Weedle,Tangela,Tangela
2489,Swirlix,Amaura,Swirlix
2490,Kecleon,Kabuto,Kabuto
2491,Munchlax,Delibird,Munchlax
2492,Ducklett,Gible,Ducklett
2493,Purrloin,Lickitung,Purrloin
2494,Drowzee,Dunsparce,Dunsparce
2495,Onix,Dialga,Dialga
2496,Latios,Bergmite,Latios
2497,Helioptile,Tyrunt,Helioptile
2498,Houndour,Eevee,Houndour
2499,Elgyem,Kangaskhan,Kangaskhan
2500,Groudon,Gligar,Groudon
2501,Litleo,Nincada,Litleo
2502,Magnemite,Relicanth,Relicanth
2503,Axew,Kabuto,Axew
2504,Spinda,Genesect,Genesect
2505,Victini,Azurill,Victini
2506,Girafarig,Mesprit,Girafarig
2507,Swablu,Fennekin,Fennekin
2508,Rattata,Archen,Rattata
2509,Baltoy,Carvanha,Carvanha
2510,Victini,Zangoose,Victini
2511,Chatot,Paras,Chatot
2512,Ralts,Gible,Gible
2513,Aipom,Golett,Golett
2514,Chinchou,Cubchoo,Chinchou
2515,Squirtle,Cobalion,Cobalion
2516,Tangela,Venonat,Tangela
2517,Corsola,Regigigas,Regigigas
2518,Diglett,Heatran,Diglett
2519,Latias,Emolga,Latias
2520,Slugma,Omanyte,Omanyte
2521,Cryogonal,Lunatone,Cryogonal
2522,Dwebble,Palkia,Palkia
2523,Pinsir,Golett,Golett
2524,Zubat,Druddigon,Zubat
2525,Spheal,Alomomola,Alomomola
2526,Spearow,Tynamo,Spearow
2527,Chatot,Whismur,Chatot
2528,Mewtwo,Rotom,Rotom
2529,Smeargle,Bidoof,Smeargle
2530,Foongus,Zangoose,Zangoose
2531,Electrike,Chikorita,Electrike
2532,Barboach,Helioptile,Helioptile
2533,Golett,Slowpoke,Golett
2534,Shelmet,Elekid,Elekid
2535,Axew,Scraggy,Axew
2536,Finneon,Palkia,Palkia
2537,Pinsir,Corphish,Pinsir
2538,Latios,Corsola,Latios
2539,Caterpie,Psyduck,Psyduck
2540,Solrock,Pansage,Solrock
2541,Helioptile,Pidove,Helioptile
2542,Elekid,Torchic,Elekid
2543,Corphish,Magikarp,Corphish
2544,Gligar,Surskit,Gligar
2545,Seviper,Litwick,Seviper
2546,Shuckle,Wurmple,Wurmple
2547,Pidove,Dedenne,Dedenne
2548,Yveltal,Pidove,Yveltal
2549,Tyrunt,Tentacool,Tentacool
2550,Paras,Froakie,Froakie
2551,Mankey,Litwick,Litwick
2552,Girafarig,Koffing,Girafarig
2553,Happiny,Karrablast,Karrablast
2554,Hawlucha,Drowzee,Hawlucha
2555,Bulbasaur,Golett,Bulbasaur
2556,Koffing,Darumaka,Darumaka
2557,Spheal,Bagon,Bagon
2558,Shuckle,Torchic,Torchic
2559,Teddiursa,Trubbish,Trubbish
2560,Totodile,Slugma,Totodile
2561,Latias,Heracross,Latias
2562,Snubbull,Plusle,Plusle
2563,Shuckle,Ledyba,Ledyba
2564,Volcanion,Joltik,Volcanion
2565,Reshiram,Tirtouga,Reshiram
2566,Koffing,Cobalion,Cobalion
2567,Smoochum,Phanpy,Smoochum
2568,Dunsparce,Grimer,Dunsparce
2569,Celebi,Amaura,Celebi
2570,Bergmite,Ralts,Ralts
2571,Pichu,Alomomola,Alomomola
2572,Shuppet,Volcanion,Volcanion
2573,Vulpix,Joltik,Joltik
2574,Nosepass,Corsola,Corsola
2575,Reshiram,Numel,Reshiram
2576,Skarmory,Binacle,Skarmory
2577,Solosis,Igglybuff,Solosis
2578,Carbink,Heatran,Heatran
2579,Frillish,Remoraid,Remoraid
2580,Dwebble,Archen,Archen
2581,Spinarak,Rattata,Rattata
2582,Munchlax,Litwick,Litwick
2583,Baltoy,Mewtwo,Mewtwo
2584,Ducklett,Scyther,Scyther
2585,Helioptile,Rufflet,Helioptile
2586,Gastly,Groudon,Groudon
2587,Minccino,Tepig,Minccino
2588,Blitzle,Phanpy,Phanpy
2589,Durant,Virizion,Durant
2590,Panpour,Registeel,Panpour
2591,Honedge,Stantler,Stantler
2592,Gligar,Alomomola,Gligar
2593,Horsea,Cacnea,Cacnea
2594,Mewtwo,Piplup,Mewtwo
2595,Genesect,Tyrogue,Genesect
2596,Spheal,Gible,Gible
2597,Koffing,Zekrom,Zekrom
2598,Vanillite,Minccino,Minccino
2599,Growlithe,Volcanion,Volcanion
2600,Diglett,Cubchoo,Cubchoo
2601,Genesect,Ho-oh,Genesect
2602,Yanma,Wurmple,Yanma
2603,Shinx,Luvdisc,Shinx
2604,Treecko,Wynaut,Treecko
2605,Krabby,Spinda,Spinda
2606,Wingull,Sunkern,Wingull
2607,Binacle,Entei,Entei
2608,Volbeat,Cacnea,Volbeat
2609,Uxie,Bagon,Uxie
2610,Cranidos,Foongus,Cranidos
2611,Rotom,Lickitung,Lickitung
2612,Abra,Happiny,Abra
2613,Exeggcute,Teddiursa,Teddiursa
2614,Turtwig,Chatot,Chatot
2615,Happiny,Abra,Abra
2616,Cryogonal,Turtwig,Cryogonal
2617,Skrelp,Volbeat,Volbeat
2618,Spinda,Seel,Spinda
2619,Klefki,Venipede,Klefki
2620,Ekans,Pachirisu,Pachirisu
2621,Clauncher,Torkoal,Clauncher
2622,Barboach,Pidove,Pidove
2623,Happiny,Riolu,Riolu
2624,Budew,Phanpy,Budew
2625,Deino,Zigzagoon,Zigzagoon
2626,Bronzor,Aerodactyl,Aerodactyl
2627,Luvdisc,Glameow,Luvdisc
2628,Kyogre,Heatran,Kyogre
2629,Onix,Scraggy,Onix
2630,Heracross,Whismur,Heracross
2631,Chikorita,Roggenrola,Chikorita
2632,Drifloon,Chatot,Chatot
2633,Delibird,Snubbull,Delibird
2634,Klefki,Blitzle,Blitzle
2635,Woobat,Cubchoo,Woobat
2636,Goldeen,Sewaddle,Goldeen
2637,Absol,Bergmite,Absol
2638,Fennekin,Magnemite,Fennekin
2639,Rotom,Skarmory,Rotom
2640,Carbink,Registeel,Registeel
2641,Smeargle,Hippopotas,Hippopotas
2642,Makuhita,Lileep,Makuhita
2643,Nosepass,Woobat,Woobat
2644,Oddish,Rayquaza,Rayquaza
2645,Foongus,Turtwig,Turtwig
2646,Bellsprout,Swablu,Swablu
2647,Houndour,Cobalion,Cobalion
2648,Pansear,Feebas,Feebas
2649,Druddigon,Slugma,Druddigon
2650,Wooper,Poochyena,Poochyena
2651,Zapdos,Oddish,Zapdos
2652,Zorua,Spearow,Spearow
2653,Cresselia,Latias,Latias
2654,Hoothoot,Dialga,Dialga
2655,Starly,Munna,Starly
2656,Finneon,Lickitung,Finneon
2657,Horsea,Buizel,Buizel
2658,Chikorita,Phione,Phione
2659,Glameow,Purrloin,Glameow
2660,Terrakion,Wingull,Terrakion
2661,Vulpix,Gligar,Gligar
2662,Litleo,Klefki,Klefki
2663,Alomomola,Diglett,Alomomola
2664,Croagunk,Minccino,Minccino
2665,Axew,Clauncher,Axew
2666,Turtwig,Mesprit,Mesprit
2667,Celebi,Combee,Celebi
2668,Lunatone,Nincada,Lunatone
2669,Genesect,Barboach,Genesect
2670,Remoraid,Klink,Remoraid
2671,Lickitung,Scraggy,Scraggy
2672,Jirachi,Misdreavus,Jirachi
2673,Phantump,Elekid,Elekid
2674,Skiddo,Timburr,Skiddo
2675,Trapinch,Emolga,Trapinch
2676,Spiritomb,Pinsir,Pinsir
2677,Cacnea,Carbink,Carbink
2678,Doduo,Diancie,Doduo
2679,Zigzagoon,Treecko,Treecko
2680,Mewtwo,Finneon,Mewtwo
2681,Mareep,Lunatone,Lunatone
2682,Pansage,Kyurem,Kyurem
2683,Porygon,Whismur,Porygon
2684,Rufflet,Bellsprout,Rufflet
2685,Weedle,Gible,Weedle
2686,Litwick,Fletchling,Fletchling
2687,Victini,Karrablast,Victini
2688,Teddiursa,Amaura,Amaura
2689,Shuppet,Charmander,Charmander
2690,Exeggcute,Latios,Latios
2691,Shinx,Togepi,Shinx
2692,Drilbur,Kyogre,Kyogre
2693,Phantump,Hoothoot,Hoothoot
2694,Slowpoke,Joltik,Slowpoke
2695,Sawk,Moltres,Moltres
2696,Pichu,Honedge,Honedge
2697,Ducklett,Nosepass,Ducklett
2698,Machop,Psyduck,Psyduck
2699,Heatmor,Kangaskhan,Kangaskhan
2700,Victini,Phione,Victini
2701,Lillipup,Bagon,Lillipup
2702,Squirtle,Qwilfish,Qwilfish
2703,Elekid,Frillish,Frillish
2704,Torchic,Aerodactyl,Aerodactyl
2705,Moltres,Dratini,Moltres
2706,Buneary,Regice,Buneary
2707,Pancham,Minun,Minun
2708,Stunky,Genesect,Genesect
2709,Spritzee,Phione,Phione
2710,Misdreavus,Piplup,Misdreavus
2711,Slowpoke,Sawk,Sawk
2712,Ducklett,Gulpin,Ducklett
2713,Castform,Rattata,Rattata
2714,Larvesta,Hoppip,Larvesta
2715,Celebi,Riolu,Celebi
2716,Kabuto,Totodile,Kabuto
2717,Natu,Kabuto,Natu
2718,Pachirisu,Magikarp,Pachirisu
2719,Corphish,Yveltal,Yveltal
2720,Surskit,Mewtwo,Mewtwo
2721,Tynamo,Mawile,Tynamo
2722,Yveltal,Mawile,Yveltal
2723,Tangela,Pineco,Pineco
2724,Audino,Lileep,Audino
2725,Suicune,Phantump,Suicune
2726,Skiddo,Moltres,Moltres
2727,Qwilfish,Chatot,Chatot
2728,Drifloon,Manaphy,Manaphy
2729,Klefki,Whismur,Klefki
2730,Skrelp,Corphish,Corphish
2731,Tympole,Kyogre,Kyogre
2732,Litwick,Articuno,Articuno
2733,Gible,Woobat,Woobat
2734,Makuhita,Cottonee,Makuhita
2735,Mewtwo,Regirock,Mewtwo
2736,Shuckle,Venipede,Venipede
2737,Delibird,Magikarp,Magikarp
2738,Dialga,Corsola,Dialga
2739,Miltank,Munna,Miltank
2740,Torkoal,Venipede,Torkoal
2741,Makuhita,Sandile,Sandile
2742,Hippopotas,Heatran,Heatran
2743,Palkia,Spearow,Palkia
2744,Chingling,Illumise,Illumise
2745,Sentret,Victini,Victini
2746,Darumaka,Latios,Latios
2747,Weedle,Bronzor,Weedle
2748,Bulbasaur,Barboach,Barboach
2749,Kabuto,Beldum,Kabuto
2750,Mewtwo,Shieldon,Mewtwo
2751,Swablu,Budew,Budew
2752,Tentacool,Inkay,Tentacool
2753,Diglett,Miltank,Miltank
2754,Castform,Pachirisu,Pachirisu
2755,Moltres,Lillipup,Moltres
2756,Groudon,Aerodactyl,Aerodactyl
2757,Sentret,Spoink,Spoink
2758,Sawk,Duskull,Duskull
2759,Bidoof,Pansear,Pansear
2760,Bulbasaur,Emolga,Emolga
2761,Seel,Bulbasaur,Bulbasaur
2762,Pidgey,Castform,Castform
2763,Onix,Froakie,Froakie
2764,Sigilyph,Charmander,Sigilyph
2765,Cleffa,Teddiursa,Teddiursa
2766,Whismur,Electrike,Electrike
2767,Bunnelby,Shellder,Bunnelby
2768,Vullaby,Darkrai,Darkrai
2769,Goldeen,Binacle,Goldeen
2770,Lunatone,Frillish,Lunatone
2771,Ho-oh,Litleo,Ho-oh
2772,Kyurem,Ralts,Kyurem
2773,Cobalion,Lileep,Cobalion
2774,Barboach,Tepig,Barboach
2775,Numel,Houndour,Houndour
2776,Rotom,Patrat,Patrat
2777,Carbink,Meditite,Meditite
2778,Skrelp,Onix,Onix
2779,Mareep,Torkoal,Mareep
2780,Cubchoo,Woobat,Woobat
2781,Aron,Swinub,Swinub
2782,Growlithe,Stunfisk,Growlithe
2783,Amaura,Torkoal,Amaura
2784,Shinx,Cresselia,Cresselia
2785,Diancie,Venipede,Venipede
2786,Sableye,Poochyena,Poochyena
2787,Qwilfish,Croagunk,Qwilfish
2788,Cacnea,Torchic,Torchic
2789,Swirlix,Sneasel,Sneasel
2790,Rattata,Bulbasaur,Rattata
2791,Meditite,Azelf,Azelf
2792,Bellsprout,Tyrogue,Bellsprout
2793,Chingling,Nosepass,Chingling
2794,Sunkern,Bidoof,Bidoof
2795,Minun,Machop,Minun
2796,Litwick,Palkia,Palkia
2797,Binacle,Articuno,Articuno
2798,Tentacool,Ducklett,Tentacool
2799,Jirachi,Kricketot,Jirachi
2800,Zigzagoon,Wurmple,Zigzagoon
2801,Murkrow,Tentacool,Murkrow
2802,Panpour,Swirlix,Panpour
2803,Igglybuff,Darkrai,Darkrai
2804,Misdreavus,Articuno,Articuno
2805,Bergmite,Houndour,Houndour
2806,Cleffa,Mareep,Mareep
2807,Cryogonal,Plusle,Cryogonal
2808,Caterpie,Oddish,Caterpie
2809,Carnivine,Natu,Natu
2810,Weedle,Shuppet,Weedle
2811,Sunkern,Glameow,Glameow
2812,Magnemite,Lunatone,Lunatone
2813,Pidgey,Kangaskhan,Kangaskhan
2814,Rayquaza,Hippopotas,Rayquaza
2815,Smoochum,Electrike,Electrike
2816,Hawlucha,Bonsly,Hawlucha
2817,Sandile,Scraggy,Sandile
2818,Frillish,Corsola,Frillish
2819,Mienfoo,Pansage,Mienfoo
2820,Numel,Lickitung,Numel
2821,Pichu,Lugia,Lugia
2822,Phantump,Drifloon,Drifloon
2823,Staryu,Oshawott,Staryu
2824,Chingling,Wingull,Wingull
2825,Whismur,Houndour,Houndour
2826,Ralts,Registeel,Registeel
2827,Exeggcute,Tyrogue,Exeggcute
2828,Volbeat,Minccino,Volbeat
2829,Aerodactyl,Tynamo,Aerodactyl
2830,Porygon,Drilbur,Drilbur
2831,Pansear,Shellder,Pansear
2832,Riolu,Porygon,Riolu
2833,Spoink,Beldum,Spoink
2834,Darkrai,Rotom,Rotom
2835,Happiny,Sneasel,Sneasel
2836,Froakie,Anorith,Anorith
2837,Starly,Meowth,Meowth
2838,Goldeen,Timburr,Goldeen
2839,Solrock,Regirock,Solrock
2840,Misdreavus,Taillow,Taillow
2841,Omanyte,Honedge,Omanyte
2842,Beldum,Kricketot,Beldum
2843,Rayquaza,Dwebble,Rayquaza
2844,Dunsparce,Aerodactyl,Aerodactyl
2845,Joltik,Regirock,Joltik
2846,Zapdos,Mesprit,Zapdos
2847,Grimer,Venipede,Grimer
2848,Kyogre,Venonat,Kyogre
2849,Tympole,Spinda,Tympole
2850,Darumaka,Wooper,Darumaka
2851,Zangoose,Voltorb,Voltorb
2852,Spritzee,Rotom,Rotom
2853,Slugma,Carnivine,Carnivine
2854,Drowzee,Woobat,Woobat
2855,Spinda,Sunkern,Spinda
2856,Seedot,Corphish,Corphish
2857,Amaura,Paras,Amaura
2858,Roggenrola,Caterpie,Roggenrola
2859,Igglybuff,Hoothoot,Hoothoot
2860,Stantler,Houndour,Stantler
2861,Cobalion,Goomy,Cobalion
2862,Regirock,Alomomola,Alomomola
2863,Litleo,Terrakion,Terrakion
2864,Natu,Oshawott,Natu
2865,Riolu,Shellder,Riolu
2866,Lillipup,Tympole,Tympole
2867,Wynaut,Bunnelby,Bunnelby
2868,Zigzagoon,Darumaka,Zigzagoon
2869,Mesprit,Ho-oh,Ho-oh
2870,Electrike,Ponyta,Ponyta
2871,Finneon,Manaphy,Manaphy
2872,Klink,Tropius,Tropius
2873,Tropius,Barboach,Barboach
2874,Chingling,Buneary,Buneary
2875,Poochyena,Happiny,Poochyena
2876,Tympole,Mawile,Tympole
2877,Cacnea,Skarmory,Skarmory
2878,Mawile,Kyogre,Kyogre
2879,Cranidos,Rotom,Rotom
2880,Mareep,Lapras,Lapras
2881,Seedot,Mudkip,Mudkip
2882,Entei,Spheal,Entei
2883,Latios,Tauros,Tauros
2884,Cleffa,Aerodactyl,Aerodactyl
2885,Latios,Foongus,Latios
2886,Snivy,Riolu,Snivy
2887,Shellder,Jirachi,Jirachi
2888,Lapras,Virizion,Virizion
2889,Darkrai,Psyduck,Darkrai
2890,Cobalion,Karrablast,Cobalion
2891,Pidgey,Yamask,Yamask
2892,Igglybuff,Vanillite,Vanillite
2893,Machop,Bellsprout,Bellsprout
2894,Bunnelby,Doduo,Doduo
2895,Shuckle,Zangoose,Zangoose
2896,Throh,Dratini,Dratini
2897,Natu,Budew,Natu
2898,Caterpie,Hoothoot,Hoothoot
2899,Slakoth,Croagunk,Croagunk
2900,Mudkip,Chikorita,Chikorita
2901,Minun,Carvanha,Minun
2902,Aerodactyl,Axew,Aerodactyl
2903,Relicanth,Joltik,Joltik
2904,Mewtwo,Magby,Mewtwo
2905,Binacle,Ralts,Binacle
2906,Dunsparce,Magnemite,Magnemite
2907,Eevee,Chikorita,Eevee
2908,Oddish,Pawniard,Pawniard
2909,Azelf,Zigzagoon,Azelf
2910,Zubat,Wurmple,Zubat
2911,Ho-oh,Bonsly,Ho-oh
2912,Phione,Celebi,Celebi
2913,Diancie,Clamperl,Diancie
2914,Fletchling,Dwebble,Fletchling
2915,Spinarak,Dedenne,Dedenne
2916,Terrakion,Inkay,Terrakion
2917,Surskit,Hoothoot,Surskit
2918,Sentret,Growlithe,Growlithe
2919,Corsola,Duskull,Corsola
2920,Trubbish,Skiddo,Trubbish
2921,Roggenrola,Mawile,Mawile
2922,Vullaby,Mantyke,Vullaby
2923,Pansear,Cranidos,Pansear
2924,Torchic,Grimer,Torchic
2925,Fennekin,Slakoth,Fennekin
2926,Inkay,Luvdisc,Luvdisc
2927,Aipom,Pidgey,Aipom
2928,Gothita,Barboach,Barboach
2929,Ekans,Pachirisu,Pachirisu
2930,Whismur,Aerodactyl,Aerodactyl
2931,Budew,Smoochum,Smoochum
2932,Misdreavus,Sableye,Sableye
2933,Croagunk,Spinarak,Croagunk
2934,Heatmor,Venonat,Heatmor
2935,Girafarig,Drowzee,Girafarig
2936,Geodude,Smoochum,Geodude
2937,Kricketot,Lugia,Lugia
2938,Frillish,Pineco,Pineco
2939,Pidgey,Sewaddle,Pidgey
2940,Tynamo,Snivy,Snivy
2941,Volbeat,Rhyhorn,Volbeat
2942,Pidove,Phione,Phione
2943,Munna,Aron,Aron
2944,Venonat,Axew,Axew
2945,Fennekin,Smeargle,Smeargle
2946,Charmander,Hawlucha,Hawlucha
2947,Skiddo,Wurmple,Skiddo
2948,Slowpoke,Ralts,Slowpoke
2949,Timburr,Inkay,Inkay
2950,Rayquaza,Rhyhorn,Rayquaza
2951,Paras,Solrock,Solrock
2952,Tyrogue,Sigilyph,Sigilyph
2953,Illumise,Skiddo,Illumise
2954,Blitzle,Frillish,Frillish
2955,Makuhita,Sentret,Makuhita
2956,Spinda,Bagon,Spinda
2957,Poochyena,Swinub,Swinub
2958,Starly,Lillipup,Starly
2959,Goldeen,Klefki,Klefki
2960,Finneon,Suicune,Suicune
2961,Dialga,Squirtle,Dialga
2962,Tirtouga,Squirtle,Squirtle
2963,Solrock,Doduo,Doduo
2964,Chinchou,Zubat,Chinchou
2965,Rayquaza,Tirtouga,Rayquaza
2966,Pichu,Zekrom,Zekrom
2967,Horsea,Diglett,Diglett
2968,Sneasel,Victini,Sneasel
2969,Sigilyph,Articuno,Sigilyph
2970,Chatot,Timburr,Chatot
2971,Joltik,Cubone,Joltik
2972,Lugia,Cacnea,Lugia
2973,Elekid,Eevee,Elekid
2974,Nincada,Pawniard,Pawniard
2975,Tangela,Scyther,Scyther
2976,Anorith,Torchic,Anorith
2977,Klink,Phantump,Phantump
2978,Bouffalant,Lunatone,Lunatone
2979,Mawile,Dratini,Dratini
2980,Porygon,Oshawott,Oshawott
2981,Yveltal,Spinda,Yveltal
2982,Skorupi,Shroomish,Skorupi
2983,Dialga,Gligar,Dialga
2984,Scraggy,Sneasel,Sneasel
2985,Minun,Terrakion,Terrakion
2986,Krabby,Rayquaza,Rayquaza
2987,Klefki,Snubbull,Klefki
2988,Pansear,Baltoy,Pansear
2989,Heatran,Genesect,Genesect
2990,Krabby,Cacnea,Krabby
2991,Grimer,Cresselia,Cresselia
2992,Taillow,Squirtle,Taillow
2993,Ducklett,Delibird,Delibird
2994,Shuckle,Cresselia,Cresselia
2995,Bouffalant,Tauros,Tauros
2996,Swirlix,Croagunk,Croagunk
2997,Scyther,Hippopotas,Scyther
2998,Audino,Sunkern,Audino
2999,Honedge,Bidoof,Bidoof
3000,Feebas,Chatot,Chatot
3001,Latios,Mankey,Latios
3002,Cherubi,Pawniard,Pawniard
3003,Lotad,Espurr,Espurr
3004,Seel,Spinarak,Seel
3005,Absol,Oshawott,Absol
3006,Koffing,Golett,Golett
3007,Remoraid,Stunky,Stunky
3008,Klefki,Croagunk,Klefki
3009,Starly,Geodude,Starly
3010,Treecko,Heracross,Heracross
3011,Gligar,Mareep,Gligar
3012,Cranidos,Lugia,Lugia
3013,Skiddo,Natu,Natu
3014,Seviper,Lapras,Seviper
3015,Fletchling,Munna,Fletchling
3016,Cubchoo,Pidgey,Pidgey
3017,Numel,Alomomola,Alomomola
3018,Throh,Fennekin,Fennekin
3019,Ekans,Tauros,Tauros
3020,Gible,Riolu,Riolu
3021,Doduo,Finneon,Doduo
3022,Squirtle,Articuno,Articuno
3023,Snivy,Caterpie,Snivy
3024,Cacnea,Joltik,Joltik
3025,Panpour,Lapras,Panpour
3026,Cherubi,Heracross,Heracross
3027,Joltik,Weedle,Joltik
3028,Kecleon,Hoppip,Hoppip
3029,Spheal,Cryogonal,Cryogonal
3030,Wooper,Illumise,Illumise
3031,Bunnelby,Solrock,Solrock
3032,Chimchar,Pansage,Pansage
3033,Kricketot,Spritzee,Kricketot
3034,Elekid,Durant,Durant
3035,Piplup,Mankey,Mankey
3036,Zekrom,Elekid,Elekid
3037,Latias,Carnivine,Latias
3038,Psyduck,Phione,Phione
3039,Porygon,Minccino,Minccino
3040,Munchlax,Oddish,Munchlax
3041,Tirtouga,Stantler,Stantler
3042,Minccino,Wooper,Minccino
3043,Minccino,Mienfoo,Minccino
3044,Genesect,Gastly,Genesect
3045,Growlithe,Skarmory,Skarmory
3046,Rayquaza,Lapras,Rayquaza
3047,Munchlax,Shinx,Munchlax
3048,Lileep,Staryu,Staryu
3049,Voltorb,Paras,Paras
3050,Petilil,Luvdisc,Petilil
3051,Wailmer,Latias,Latias
3052,Jirachi,Numel,Jirachi
3053,Bellsprout,Wynaut,Bellsprout
3054,Regice,Klefki,Klefki
3055,Hoothoot,Cleffa,Hoothoot
3056,Sunkern,Weedle,Weedle
3057,Electrike,Druddigon,Electrike
3058,Larvitar,Starly,Starly
3059,Nincada,Skitty,Skitty
3060,Buizel,Skarmory,Buizel
3061,Horsea,Sentret,Horsea
3062,Mesprit,Throh,Mesprit
3063,Azelf,Beldum,Azelf
3064,Larvitar,Rayquaza,Rayquaza
3065,Scraggy,Delibird,Delibird
3066,Vulpix,Whismur,Vulpix
3067,Swirlix,Yanma,Yanma
3068,Skrelp,Nincada,Nincada
3069,Shuppet,Gastly,Gastly
3070,Poochyena,Totodile,Totodile
3071,Psyduck,Karrablast,Karrablast
3072,Sneasel,Pineco,Sneasel
3073,Pawniard,Diancie,Pawniard
3074,Larvitar,Spiritomb,Larvitar
3075,Dialga,Drowzee,Dialga
3076,Fennekin,Tangela,Tangela
3077,Registeel,Tyrunt,Registeel
3078,Larvitar,Treecko,Treecko
3079,Spinda,Archen,Archen
3080,Tyrunt,Baltoy,Baltoy
3081,Blitzle,Whismur,Blitzle
3082,Turtwig,Bulbasaur,Bulbasaur
3083,Yanma,Lickitung,Yanma
3084,Froakie,Lileep,Froakie
3085,Jirachi,Starly,Jirachi
3086,Frillish,Seel,Seel
3087,Manaphy,Druddigon,Manaphy
3088,Absol,Porygon,Absol
3089,Moltres,Entei,Entei
3090,Shinx,Finneon,Finneon
3091,Bunnelby,Litleo,Litleo
3092,Starly,Porygon,Starly
3093,Patrat,Wurmple,Patrat
3094,Ponyta,Onix,Ponyta
3095,Sawk,Qwilfish,Qwilfish
3096,Slowpoke,Elgyem,Elgyem
3097,Seviper,Zorua,Zorua
3098,Blitzle,Heatmor,Blitzle
3099,Manaphy,Tyrogue,Manaphy
3100,Bulbasaur,Chinchou,Chinchou
3101,Phanpy,Chimchar,Chimchar
3102,Psyduck,Amaura,Psyduck
3103,Scyther,Happiny,Scyther
3104,Ralts,Rattata,Rattata
3105,Mudkip,Shroomish,Mudkip
3106,Sandile,Pidove,Sandile
3107,Reshiram,Zekrom,Zekrom
3108,Volbeat,Ferroseed,Volbeat
3109,Slowpoke,Gastly,Slowpoke
3110,Krabby,Snorunt,Snorunt
3111,Elekid,Shellder,Elekid
3112,Uxie,Archen,Uxie
3113,Horsea,Joltik,Joltik
3114,Shieldon,Phione,Phione
3115,Spiritomb,Pancham,Pancham
3116,Diancie,Sentret,Diancie
3117,Elekid,Karrablast,Elekid
3118,Vulpix,Starly,Vulpix
3119,Frillish,Beldum,Frillish
3120,Zapdos,Larvesta,Zapdos
3121,Kecleon,Zorua,Zorua
3122,Smoochum,Magby,Magby
3123,Bonsly,Sewaddle,Bonsly
3124,Combee,Darumaka,Darumaka
3125,Misdreavus,Yanma,Yanma
3126,Drilbur,Carnivine,Drilbur
3127,Slugma,Ponyta,Ponyta
3128,Charmander,Bergmite,Charmander
3129,Scyther,Karrablast,Scyther
3130,Delibird,Helioptile,Delibird
3131,Piplup,Buneary,Buneary
3132,Bunnelby,Dunsparce,Bunnelby
3133,Victini,Shinx,Victini
3134,Buizel,Electrike,Buizel
3135,Exeggcute,Abra,Exeggcute
3136,Klefki,Makuhita,Klefki
3137,Roggenrola,Aerodactyl,Aerodactyl
3138,Deino,Latias,Latias
3139,Goldeen,Heatmor,Heatmor
3140,Snivy,Yanma,Yanma
3141,Totodile,Carvanha,Carvanha
3142,Machop,Pachirisu,Pachirisu
3143,Meowth,Remoraid,Meowth
3144,Kecleon,Riolu,Riolu
3145,Tepig,Mewtwo,Mewtwo
3146,Pansage,Charmander,Charmander
3147,Scraggy,Diglett,Scraggy
3148,Timburr,Ho-oh,Ho-oh
3149,Ledyba,Latios,Latios
3150,Nincada,Houndour,Houndour
3151,Kyurem,Hoppip,Kyurem
3152,Slakoth,Pidove,Pidove
3153,Scraggy,Mudkip,Scraggy
3154,Shellder,Kyogre,Kyogre
3155,Natu,Nincada,Natu
3156,Skiddo,Hawlucha,Hawlucha
3157,Taillow,Geodude,Taillow
3158,Igglybuff,Throh,Throh
3159,Litwick,Anorith,Anorith
3160,Doduo,Corsola,Doduo
3161,Bellsprout,Happiny,Bellsprout
3162,Meditite,Pichu,Pichu
3163,Cleffa,Litwick,Litwick
3164,Tympole,Pachirisu,Pachirisu
3165,Volbeat,Entei,Entei
3166,Cubone,Phantump,Phantump
3167,Darkrai,Buizel,Darkrai
3168,Chespin,Uxie,Uxie
3169,Virizion,Regice,Virizion
3170,Zorua,Stantler,Stantler
3171,Timburr,Spheal,Timburr
3172,Swinub,Litleo,Litleo
